CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Recency_scaled,Frequency_scaled,Monetary_scaled
12346,326,1,77183.6,1,1,5,115,7,1.4619928068665424,-0.9552142636712971,3.707716304393321
12347,2,7,4310.0,5,5,5,555,15,-2.0387344178427855,1.0744251947249353,1.4149034409922063
12348,75,4,1797.24,2,4,4,244,10,0.37310423556778083,0.3863044476016776,0.7200242808941862
12349,19,1,1757.55,4,1,4,414,9,-0.6230859205766931,-0.9552142636712971,0.7022869133754331
12350,310,1,334.4,1,1,2,112,4,1.4245575339360348,-0.9552142636712971,-0.6145138773809342
12352,36,8,2506.04,3,5,5,355,13,-0.16402870097223204,1.2468684386726128,0.9841077670757191
12353,204,1,89.0,1,1,1,111,3,1.1135502505032524,-0.9552142636712971,-1.659989234491792
12354,232,1,1079.4,1,1,4,114,6,1.2090862834765006,-0.9552142636712971,0.3151288218867015
12355,214,1,459.4,1,1,2,112,4,1.1490907416248033,-0.9552142636712971,-0.36276657985511634
12356,23,3,2811.43,4,3,5,435,12,-0.4870358868672529,0.05960546552681911,1.075458602358939
12357,33,1,6207.67,4,1,5,415,10,-0.22712620679597337,-0.9552142636712971,1.7048016178150551
12358,2,2,1168.06,5,2,4,524,11,-2.0387344178427855,-0.36158277709840037,0.37780792191921597
12359,58,4,6310.03,3,4,5,345,12,0.1841671134665053,0.3863044476016776,1.7177971567525194
12360,52,3,2662.06,3,3,5,335,11,0.10413950578058002,0.05960546552681911,1.0320879035098578
12361,287,1,189.9,1,1,1,111,3,1.3672244617898772,-0.9552142636712971,-1.062401754487148
12362,3,10,5226.23,5,5,5,555,15,-1.8240633918658722,1.5406654655354899,1.5680566624251784
12363,110,2,552.0,2,2,3,223,7,0.6557659603678762,-0.36158277709840037,-0.21712296203320555
12364,8,4,1313.1,5,4,4,544,13,-1.2189397565026774,0.3863044476016776,0.47075290883277454
12365,291,2,641.38,1,2,3,123,6,1.377517166470927,-0.36158277709840037,-0.09805526966877968
12367,4,1,168.9,5,1,1,511,7,-1.6575516078937147,-0.9552142636712971,-1.1550190660766537
12370,51,4,3541.94,3,4,5,345,12,0.08992556633514363,0.3863044476016776,1.2589675608961863
12371,45,2,1887.96,3,2,4,324,9,-0.0015614215275583125,-0.36158277709840037,0.7591391847260899
12372,72,3,1298.04,3,3,4,334,10,0.34305147915390505,0.05960546552681911,0.46159248927924845
12373,311,1,364.6,1,1,2,112,4,1.4269530713337628,-0.9552142636712971,-0.5459956549487215
12374,25,1,742.93,4,1,3,413,8,-0.4273072773233673,-0.9552142636712971,0.018584441118118487
12375,11,2,457.5,5,2,2,522,9,-1.0042687305257638,-0.36158277709840037,-0.3660530843539457
12377,315,2,1628.12,1,2,4,124,7,1.4364590503135464,-0.36158277709840037,0.6415302990453884
12378,130,1,4008.62,2,1,5,215,8,0.7793883005555002,-0.9552142636712971,1.3573068160503747
12379,82,2,852.24,2,2,3,223,7,0.4388506943278125,-0.36158277709840037,0.12753675865758338
12380,22,4,2724.81,4,4,5,445,13,-0.5187942651860693,0.3863044476016776,1.0505969444501086
12381,5,5,1845.31,5,4,4,544,13,-1.5215015741842748,0.6532369520997158,0.7409897052842175
12383,185,5,1850.56,1,4,4,144,9,1.0409714714796316,0.6532369520997158,0.7432463137789651
12384,29,2,585.27,4,2,3,423,9,-0.3205241028950956,-0.36158277709840037,-0.1706930453042452
12386,338,2,401.9,1,2,2,122,5,1.4888861411471739,-0.36158277709840037,-0.46878902399241756
12388,16,6,2780.66,4,4,5,445,13,-0.7443590504544844,0.8789251688960832,1.066715799417257
12390,80,1,549.84,2,1,3,213,6,0.4206495661775393,-0.9552142636712971,-0.22023322021090555
12391,22,1,439.66,4,1,2,412,7,-0.5187942651860693,-0.9552142636712971,-0.39759318909804164
12393,72,4,1582.6,3,4,4,344,11,0.34305147915390505,0.3863044476016776,0.6190083120406632
12394,64,2,1272.48,3,2,4,324,9,0.25643735030730064,-0.36158277709840037,0.44579948895981086
12395,19,12,3018.63,4,5,5,455,14,-0.6230859205766931,1.7852452398084835,1.1319521509992125
12397,36,2,2409.9,3,2,5,325,10,-0.16402870097223204,-0.36158277709840037,0.9530318118768965
12398,46,1,1635.66,3,1,4,314,8,0.014486707924192927,-0.9552142636712971,0.6452000234939276
12399,119,4,1108.65,2,4,4,244,10,0.713941584421926,0.3863044476016776,0.33635862312048537
12401,303,1,84.3,1,1,1,111,3,1.4075699228848029,-0.9552142636712971,-1.7026146180254422
12402,323,1,225.6,1,1,1,111,3,1.4551152534945606,-0.9552142636712971,-0.9261563516366872
12403,50,1,427.7,3,1,2,312,6,0.07543561088562381,-0.9552142636712971,-0.41946109462868486
12405,149,1,1710.39,2,1,4,214,7,0.8804533683940834,-0.9552142636712971,0.680683278116104
12406,22,2,3415.3,4,2,5,425,11,-0.5187942651860693,-0.36158277709840037,1.2300404343430742
12407,50,5,1708.12,3,4,4,344,11,0.07543561088562381,0.6532369520997158,0.6796284460603733
12408,33,5,2888.55,4,4,5,445,13,-0.22712620679597337,0.6532369520997158,1.0969574943472709
12409,79,3,11072.67,2,3,5,235,10,0.4113797667403285,0.05960546552681911,2.164649665649763
12410,309,2,693.33,1,2,3,123,6,1.4221542814287025,-0.36158277709840037,-0.03625143585914709
12412,75,3,1226.88,2,3,4,234,9,0.37310423556778083,0.05960546552681911,0.4168203803679154
12413,67,3,758.1,3,3,3,333,9,0.2901066368625376,0.05960546552681911,0.034627269659911815
12414,217,3,562.41,1,3,3,133,7,1.159430989184945,0.05960546552681911,-0.20230160866857602
12415,24,21,124914.53,4,5,5,455,14,-0.45657413660453583,2.555485194733606,4.090328181338927
12417,3,9,3649.1,5,5,5,555,15,-1.8240633918658722,1.4011241767997944,1.2826485929076121
12418,113,1,668.58,2,1,3,213,6,0.6756660532493783,-0.9552142636712971,-0.06509742455040349
12420,64,1,600.39,3,1,3,313,7,0.25643735030730064,-0.9552142636712971,-0.1504567322777843
12421,16,4,807.04,4,4,3,443,11,-0.7443590504544844,0.3863044476016776,0.08428029012868199
12422,96,3,803.56,2,3,3,233,8,0.5551626080798789,0.05960546552681911,0.08085023164150142
12423,1,8,1859.31,5,5,4,554,14,-2.341296235524383,1.2468684386726128,0.746993147003457
12424,163,2,1760.96,2,2,4,224,8,0.947038466531095,-0.36158277709840037,0.7038264754185446
12425,78,1,777.2,2,1,3,213,6,0.4019933629965244,-0.9552142636712971,0.05437628062690917
12426,195,1,582.73,1,1,3,113,5,1.0800489471232713,-0.9552142636712971,-0.17414366264041475
12427,22,3,825.8,4,3,3,433,10,-0.5187942651860693,0.05960546552681911,0.10252029311828625
12428,26,9,7956.46,4,5,5,455,14,-0.3991450951625692,1.4011241767997944,1.902023710280471
12429,9,4,3750.4,5,4,5,545,14,-1.1403187642352037,0.3863044476016776,1.304403893279565
12430,43,1,256.4,3,1,2,312,6,-0.034731738315937795,-0.9552142636712971,-0.8248723418203856
12431,36,15,6419.95,3,5,5,355,13,-0.16402870097223204,2.0892449239230517,1.7315198648444616
12432,43,5,5059.32,3,4,5,345,12,-0.034731738315937795,0.6532369520997158,1.5422663399678556
12433,1,7,13375.87,5,5,5,555,15,-2.341296235524383,1.0744251947249353,2.3148189016048657
12434,85,2,806.14,2,2,3,223,7,0.4653461139941349,-0.36158277709840037,0.08339462429986075
12435,80,2,7829.89,2,2,5,225,9,0.4206495661775393,-0.36158277709840037,1.889281299502482
12436,100,1,509.01,2,1,3,213,6,0.5853165797205673,-0.9552142636712971,-0.28143840926236235
12437,2,18,4951.41,5,5,5,555,15,-2.0387344178427855,2.3408466559766334,1.52513567327238
12438,14,2,2906.85,4,2,5,425,11,-0.8377569465536066,-0.36158277709840037,1.1019747649934308
12441,367,1,173.55,1,1,1,111,3,1.5501371094479746,-0.9552142636712971,-1.1335604647506041
12442,3,1,172.06,5,1,1,511,7,-1.8240633918658722,-0.9552142636712971,-1.1403735673538156
12444,21,5,5005.46,4,4,5,445,13,-0.5519645819744484,0.6532369520997158,1.5337622434964657
12445,22,1,133.4,4,1,1,411,6,-0.5187942651860693,-0.9552142636712971,-1.3412949384918038
12446,58,1,1002.31,3,1,4,314,8,0.1841671134665053,-0.9552142636712971,0.25629767758450056
12447,243,1,476.49,1,1,2,112,4,1.2435087462334857,-0.9552142636712971,-0.33380071542770823
12448,44,1,449.45,3,1,2,312,6,-0.01796228521349842,-0.9552142636712971,-0.38013025918070487
12449,22,4,4067.29,4,4,5,445,13,-0.5187942651860693,0.3863044476016776,1.3688512588844637
12450,156,2,197.88,2,2,1,221,5,0.9144883541766984,-0.36158277709840037,-1.0298561537980184
12451,11,5,9035.52,5,4,5,545,14,-1.0042687305257638,0.6532369520997158,2.0030846754492506
12452,17,2,430.57,4,2,2,422,8,-0.7017069128441668,-0.36158277709840037,-0.4141583954223074
12453,134,1,707.09,2,1,3,213,6,0.8018323761266101,-0.9552142636712971,-0.020655819734190256
12454,56,1,3528.34,3,1,5,315,9,0.1584332095908674,-0.9552142636712971,1.2559110337316428
12455,73,6,2466.86,2,4,5,245,11,0.35320414268627925,0.8789251688960832,0.9715896987374351
12456,44,3,3181.04,3,3,5,335,11,-0.01796228521349842,0.05960546552681911,1.1735864913120333
12457,66,7,2363.23,3,5,5,355,13,0.27905148268373375,1.0744251947249353,0.9374966889886827
12458,71,2,947.4,3,2,4,324,9,0.33275877447285523,-0.36158277709840037,0.21156766241308525
