InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,2010-12-01 08:34:00,2.1,13047,United Kingdom,12.6
536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,2010-12-01 09:00:00,2.55,13748,United Kingdom,204.0
536373,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 09:02:00,4.25,17850,United Kingdom,25.5
536375,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2010-12-01 09:32:00,2.55,17850,United Kingdom,15.3
536385,85049A,TRADITIONAL CHRISTMAS RIBBONS,12,2010-12-01 09:56:00,1.25,17420,United Kingdom,15.0
536387,21731,RED TOADSTOOL LED NIGHT LIGHT,432,2010-12-01 09:58:00,1.25,16029,United Kingdom,540.0
536388,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,2010-12-01 09:59:00,7.95,16250,United Kingdom,15.9
536389,85014B,RED RETROSPOT UMBRELLA,6,2010-12-01 10:03:00,5.95,12431,Australia,35.7
536390,21786,POLKADOT RAIN HAT ,144,2010-12-01 10:19:00,0.32,17511,United Kingdom,46.08
536401,22810,SET OF 6 T-LIGHTS SNOWMEN,1,2010-12-01 11:21:00,2.95,15862,United Kingdom,2.95
536401,21169,YOU'RE CONFUSING ME METAL SIGN ,2,2010-12-01 11:21:00,1.69,15862,United Kingdom,3.38
536401,84991,60 TEATIME FAIRY CAKE CASES,3,2010-12-01 11:21:00,0.55,15862,United Kingdom,1.65
536409,22975,SPACEBOY CHILDRENS EGG CUP,1,2010-12-01 11:45:00,1.25,17908,United Kingdom,1.25
536420,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,2010-12-01 12:03:00,1.25,16583,United Kingdom,15.0
536446,22144,CHRISTMAS CRAFT LITTLE FRIENDS,2,2010-12-01 12:15:00,2.1,15983,United Kingdom,4.2
536477,21137,BLACK RECORD COVER FRAME,480,2010-12-01 12:27:00,3.39,16210,United Kingdom,1627.2
536488,22651,GENTLEMAN SHIRT REPAIR KIT ,2,2010-12-01 12:31:00,0.85,17897,United Kingdom,1.7
536514,22865,HAND WARMER OWL DESIGN,36,2010-12-01 12:40:00,2.1,17951,United Kingdom,75.60000000000001
536520,22920,HERB MARKER BASIL,3,2010-12-01 12:43:00,0.65,14729,United Kingdom,1.95
536520,22092,BLUE PAISLEY TISSUE BOX,1,2010-12-01 12:43:00,1.25,14729,United Kingdom,1.25
536522,22866,HAND WARMER SCOTTY DOG DESIGN,1,2010-12-01 12:49:00,2.1,15012,United Kingdom,2.1
536522,22569,FELTCRAFT CUSHION BUTTERFLY,1,2010-12-01 12:49:00,3.75,15012,United Kingdom,3.75
536522,22151,PLACE SETTING WHITE HEART,1,2010-12-01 12:49:00,0.42,15012,United Kingdom,0.42
536523,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2010-12-01 12:50:00,2.95,12868,United Kingdom,17.700000000000003
536525,20974,12 PENCILS SMALL TUBE SKULL,3,2010-12-01 12:54:00,0.65,14078,United Kingdom,1.95
536526,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,16,2010-12-01 12:58:00,2.95,14001,United Kingdom,47.2
536527,22973,CHILDREN'S CIRCUS PARADE MUG,12,2010-12-01 13:04:00,1.65,12662,Germany,19.8
536529,22187,GREEN CHRISTMAS TREE CARD HOLDER,4,2010-12-01 13:20:00,4.25,14237,United Kingdom,17.0
536531,15056BL,EDWARDIAN PARASOL BLACK,12,2010-12-01 13:23:00,5.95,15485,United Kingdom,71.4
